SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,IMG_URL,DESCRIPTION
Anhima cornuta,Horned Screamer,horscr1,Anseriformes,Screamers,Anhimidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/68177631/1800,"Enormous, ungainly ogre of a bird. Found around freshwater marshes and rivers in Amazonian lowlands. Dark gray and black overall with a scaly white neck and white belly. Named for the characteristic unicorn-like appendage on top of its head. Walks along river banks and perches in waterside vegetation, sometimes quite high. Honking song can be heard at great distances—a deep, reedy “ha-moo-co” often uttered in duet."
Chauna torquata,Southern Screamer,souscr1,Anseriformes,Screamers,Anhimidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/52736601/1800,"Huge and odd-looking gray gooselike species with long red legs. Note the wispy crest on the back of the head, the bare red face, and a broad dark collar with a thin white collar above it. In flight shows white underwings. Occurs in wetlands, including marshes and lakes where it may gather in big flocks. Has a very loud and far-carrying call, usually delivered in a duet."
Chauna chavaria,Northern Screamer,norscr1,Anseriformes,Screamers,Anhimidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/630962477/1800,"Huge, ungainly bird with thick red legs, red face, and a wispy crest. Body mostly gray with black neck and whitish cheeks. In flight shows white underwings. Sexes similar. Uncommon and sedentary in wetlands with some trees, often alone or in pairs, perching top of trees or next to the water. Eats aquatic plants. Unmistakable in range."
Anseranas semipalmata,Magpie Goose,maggoo1,Anseriformes,Magpie Goose,Anseranatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/70134081/1800,"Large black-and-white waterbird with bulbous lump on the top of its head and striking orange legs and feet. Often seen in very large, noisy flocks. Typically found in and around wetlands, pastures, and orchards across northern Australia. Also perches in trees and on branches. Soft honking calls given frequently, including in flight."
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/82325311/1800,"Small whistling-duck with strongly pale-spotted neck and flanks, dark bill, and gray face. Similar to Wandering Whistling-Duck, but lacks warm rusty coloring, and has pale-spotted rather than dark-spotted breast. Found in small flocks in coastal wetlands and lagoons. Australia range slowly expanding southwards from Cape York region, with regular records now from the Wet Tropics."
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/45105191/1800,"Large, pale duck with protruding cream-colored plumes on flanks. Stands tall and proud in large flocks around the edges of lakes, ponds, dams, or in nearby agricultural land. As the name suggests, note distinctive whistling call."
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/47161931/1800,"Striking duck with black-and-white head, rufous breast, and barred flanks. Like all whistling-ducks, long neck and legs give it a gooselike appearance. Found in freshwater marshes, lakes, and rice fields. Usually in flocks, sometimes numbering in the hundreds. Quite widespread in South America and Africa. Feeds at night."
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/35646961/1800,"Gangly duck with long neck and legs. Unmistakable adult has chestnut-and-black body with electric pink legs and bill. Look for the bold white wing stripe, especially visible in flight. Juvenile is duller brownish overall with gray bill and legs. Young birds could be confused with Fulvous Whistling-Duck, but juvenile Black-bellied has a white wing stripe and typically shows some black coming in on the sides and belly. Flocks gather in marshes, lakes, rice fields, and swamps, sometimes by the hundreds. Active day and night. Occurs throughout Middle and South America. Range is expanding northward in the U.S., but still largely restricted to southern states. Vocal and conspicuous; listen for wheezy whistles and chirps."
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/82390951/1800,"A distinctive large waterbird between the size of a large duck and a goose. Nocturnal; roosts during day in mangroves, wooded ponds and marshes and feeds primarily at night. Generally scarce and typically somewhat secretive, particularly where hunting of this species is allowed. Call is loud shrill whistle: “pip-pip-pip-weeeeeaaaa” usually given when agitated or in flight. Similar Fulvous Whistling-Duck is brighter with streaked, not spotted, flanks."
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/93765731/1800,"Rich caramel-colored duck with long neck and legs. Look for blue-gray legs and bill and white stripes on sides. Easily distinguished from Black-bellied Whistling-Duck in flight because Fulvous has all-dark wings. Usually found in flocks in marshes, marshy ponds, and flooded rice fields. Active day and night. Frequently gives whistled calls. Males sound wheezier, females more nasal and squeaky."
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/91990791/1800,"Medium-sized dark whistling-duck with cream-colored flank plumes. Unlike Plumed Whistling-Duck, these plumes do not stick out and appear painted on the flanks. Often in smaller flocks around lakes, ponds, and dams. As the name suggests, note whistling call."
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/66275601/1800,"A small, well-proportioned, tree-nesting duck. Pale brown overall with a darker brown crown and nape, warmer chestnut underparts, and chestnut-fringed feathers on the back. Note the faint orange-yellow eyering and the dark gray bill and legs. Sexes similar; juveniles duller. A gregarious duck found in shallow water bodies with abundant vegetation. Flies with rapid wingbeats on broad dark wings; note flashing chestnut shoulders and chestnut rump. Call is a wheezy whistling “seasick-seasick."""
Thalassornis leuconotus,White-backed Duck,whbduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/21635641/1800,"A smallish, tawny, bulbous-headed duck that sits low in the water, its tail often flush with the surface, giving it a distinctive appearance. When seen well, the white patch at the base of the bill is diagnostic. The namesake white back is usually visible only in flight. Partially nomadic; small groups are found on pans and pools that have emergent aquatic vegetation, especially waterlilies. Mostly quiet; rarely gives a squeaky-toy-like “swit-swit” whistle."
Anser indicus,Bar-headed Goose,bahgoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/181031211/1800,"Striking and distinctive goose. Bold black-and-white head and neck pattern unlike any other goose; also note orangey-yellow bill and legs. In flight appears mainly pale gray with broad black trailing edge to wings. Breeds around lakes and marshes on highland plateaus; winters in lowland wetlands and fields. Native to East and South Asia, but escapees from waterfowl collections are occasionally seen free-flying elsewhere in the world."
Anser canagicus,Emperor Goose,empgoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/566502651/1800,"Stocky goose that inhabits rocky coastlines, lagoons, and tidal flats. Striking white head, black throat, and petite pink bill. Blue-gray body with intricate black-and white bars, a white tail, and bright orange legs. Face sometimes stained orangish-brown. Juvenile has a gray head, but still shows white tail. Breeds on marshy tundra and winters in small flocks on coastal waters. Rarely seen outside Alaska."
Anser caerulescens,Snow Goose,snogoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/290513131/1800,"Medium-sized goose with two strikingly different color morphs. White morph generally more common. Adults have black wingtips, pink bill and legs, and often show yellowish staining on the head. Juveniles have dull brownish bill and legs and variable grayish smudging on body and wings. Dark morph adults are dark slaty-gray with a white face; juveniles are entirely dark. Typically found in flocks, sometimes numbering into the thousands, but individuals may be found with other geese species. Occurs in fields, marshes, and lakes during migration and winter; breeds on Arctic tundra. Compare with Ross’s Goose, which is like a cuter miniature version of Snow Goose. Pay attention to the bill: Snow Goose has a longer bill with a more curved border where it meets the face, and a more pronounced dark “grin patch” (but beware, Ross’s can show a small grin patch too!)."
Anser rossii,Ross's Goose,rosgoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/83984151/1800,"Cute miniature version of Snow Goose with smaller body, shorter neck, and stubbier bill. Pay special attention to the bill: short, with a straighter border where it meets the face, a much less obvious dark “grin patch,” and often bluish-gray color at the base. Also note clean white head; Snow Goose typically has yellowish staining on face. Hybrids with Snow Goose are rare but regular; some intermediates might be best left unidentified. Dark morph Ross’s is extremely rare. Typically found in flocks, but individuals may be found with other geese species. Frequently in large mixed flocks with Snow Geese. Occurs in fields, marshes, and lakes during migration and winter; breeds on Arctic tundra."
Anser anser,Graylag Goose,gragoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/63379971/1800,"Large gray goose. Rather bulky and overall brownish gray with a big pinkish-orange bill and pinkish legs. In flight shows extensively pale gray leading edge to upperwings, rather pale underwing coverts, and broad white tail tip. Compare to other gray geese, which differ in details of bill pattern and color, head and neck pattern, and have dark underwings. Inhabits lakes, marshes, and wetlands, and even urban parks in parts of its European range."
Anser cygnoides,Swan Goose,swagoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/56526941/1800,"Large, slender-necked goose typically found in inland areas with expansive wetlands, fields, and lakes. Gathers in large flocks during migration and on its wintering grounds, sometimes mixed with other waterfowl. The bicolored head and neck, dark brown above and tan below, and long dark bill distinguish this species from other geese in its range. Domestic forms (sometimes called “Chinese geese”) vary in plumage from all white to mottled to brown; most have a large bulb above the bill that is not found on wild birds and have stockier bodies and necks."
Anser albifrons,Greater White-fronted Goose,gwfgoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/36909271/1800,"Medium-sized goose with extensive range across the Northern Hemisphere. On adults note bright orange legs, white face, and variable amount of black splotching on belly. Bill color varies from orange to pinkish. Immatures lack white face and black on belly and have duller orange legs and bill. Superficially similar to domestic barnyard geese but smaller without the enormous pot-bellied appearance of domestic birds. Bill color is helpful to separate from both species of Bean-Goose and Pink-footed Goose. Also compare with very similar Lesser White-fronted Goose in Europe and Asia, which is smaller and more compact, and has a stubby bill and yellow eyering. Breeds in tundra and taiga habitats; winters in fields, agricultural areas, and wetlands. Usually found in flocks, sometimes mixed with other species of geese."
Anser erythropus,Lesser White-fronted Goose,lwfgoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/138319961/1800,"Generally uncommon medium-sized goose. Dark chocolate brown with a white forehead and bubblegum-pink bill. Similar to Greater White-fronted Goose: Lesser is slightly smaller and shorter-necked with a rather small, stubby bill, a distinct but narrow yellow eyering, and a more extensive white forehead. Usually seen as singles or small groups among flocks of other geese. Breeds in scrubby tundra and winters in agricultural fields, saltmarshes, and drier areas adjacent to wetlands. Gives high squeaks, often while in flight."
Anser fabalis,Taiga Bean-Goose,taibeg1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/95813661/1800,"Rather large, dark gray-brown goose with variable orange patch on bill (often extensively orange, unlike typical Tundra Bean Goose) and orange legs. In flight lacks contrasting pale forewing areas of Pink-footed Goose and Graylag Goose. Not always safely told in the field from Tundra Bean-Goose, but Taiga averages a longer, more sloping bill, versus the shorter and thicker bill of Tundra. Breeds in taiga and winters in farmland and wetlands, where it associates readily with other geese."
Anser serrirostris,Tundra Bean-Goose,tunbeg1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/41964711/1800,"Rather large, dark gray-brown goose with typically small orange patch on bill, and orange legs. In flight lacks contrasting pale forewing areas of Pink-footed Goose and Graylag Goose. Not always safely told in the field from Taiga Bean Goose, but Tundra averages a shorter and thicker bill, vs. the longer, more sloping bill of Taiga. Breeds on tundra and winters in farmland and wetlands, where it associates readily with other geese."
Anser brachyrhynchus,Pink-footed Goose,pifgoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/40740951/1800,"Relatively small and short-necked goose with contrasting dark brown head and neck, small black bill with pink band near tip, and pink legs. In flight shows extensively pale silvery upperwings. Breeds in Greenland, Iceland, and Spitsbergen; winters mainly in coastal lowlands with farmland and marshy grassland. In main areas, occurs in flocks of hundreds or even thousands; elsewhere, singles or family groups can be found among flocks of other geese. Rare but increasing winter visitor to northeastern North America, almost always with flocks of Canada Geese."
Branta bernicla,Brant,brant,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/53811211/1800,"Small, short-legged coastal goose; distinctive black head and neck with small white necklace. Some variation in belly and flank coloration across subspecies. ""Black Brant,"" mainly of western North America and eastern Asia, is darkest, with contrasting white flanks. Breeds on tundra in the high Arctic; winters in saltmarshes, rocky coastlines, sheltered bays, and beaches. Typically uncommon to rare inland. Almost always seen in flocks, only rarely mixing with other geese species."
Branta leucopsis,Barnacle Goose,bargoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/65135151/1800,"Handsome and distinctive. A rather compact and fairly small goose with big white face patch, silvery upperparts, and black neck and breast sharply demarcated from white belly. Breeds mainly in Greenland, Iceland, and Spitsbergen, and locally around the Baltic Sea. Winters in farmland and grassy wetlands mainly in coastal lowlands throughout northern Europe. Free flying feral birds resident locally at lakes and parks in the U.K. In main wintering areas, occurs in hundreds or even thousands; elsewhere, singles and family groups can be found among flocks of other geese. Rare but increasing visitor to northeastern North America, almost always with flocks of Canada Geese."
Branta hutchinsii,Cackling Goose,cacgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/45974291/1800,"A small, short-necked, stubby-billed goose. Size and shape are best identification clues; note more rounded head, shorter neck, and smaller bill on Cackling. Some are only slightly larger than Mallard. Usually very similar in plumage to Canada Goose, but some Cackling have a more prominent white neck collar. Often forms mixed flocks with other species of geese, grazing in fields or gathering in wetlands. Complex taxonomy includes four subspecies: Richardson’s, Taverner’s, minima, and Aleutian. Richardson’s is most common in central North America and regular in small numbers in the east; it can show a silvery cast to the upperparts and a narrow or diffuse white neck collar. Taverner’s is the largest Cackling subspecies and usually rather pale, very similar to Lesser (or parvipes) Canada Goose but averages stubbier-billed. Minima is smallest and darkest, usually with no neck collar. Well-named Aleutian breeds in the Aleutian Islands and winters along west coast of North America and Japan; it is typically rather dark overall with a bold white neck collar."
Branta canadensis,Canada Goose,cangoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/49344561/1800,"A large brown goose with a black neck and white chinstrap. Overall size, bill size, and brown coloration variable across subspecies. Occurs in any open or wetland habitat, from city parks and golf courses to pristine marshes and Arctic tundra. Typically in flocks or family groups. Often seen in mixed flocks with Cackling Goose, especially in central and western North America. Canada Goose is almost always larger, longer-necked, and longer-billed than Cackling, although beware there is some overlap between the smallest Canada and largest Cackling. Abundant and widespread throughout the U.S. and Canada; rare in Mexico. Introduced and widely established in Europe. Listen for loud honking calls, especially as flocks migrate overhead in the classic V formation."
Branta sandvicensis,Hawaiian Goose,hawgoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/79692681/1800,"A distinctively marked goose with neck feathers that have a peculiar furrowed appearance. Occurs in wetlands, grassy areas, golf courses, montane shrubland, parks, and even lava fields with sparse vegetation. May associate with feral domestic waterfowl in parks. Males aggressively defend nests. Common and widespread on Kauai, more locally distributed on Maui, Hawaii, and Molokai, rare on Oahu. Call is a typical goose-like honking."
Branta ruficollis,Red-breasted Goose,rebgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/63726401/1800,"Small and stocky rare goose with a small bill. From a distance, appears dark and dull, and often blends into flocks of other geese. When seen well, note the rich rusty breast and striking rusty and black-and-white head pattern. Mantle is dark and finely barred. White flank stripe is prominent on land and in flight. Also note the all dark underwings in flight. Breeds on the high arctic tundra, on islands, and coastal habitats. Winters mainly by the Black Sea."
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/106672371/1800,"Very large, heavy-set pale gray goose found across parts of coastal southern Australia. Note pale yellow and slightly drooping bill. Mostly seen as pairs or loose flocks scattered around coastal wetlands, salt marshes, and grassy pasture areas."
Stictonetta naevosa,Freckled Duck,freduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/46567131/1800,"Very finely-speckled dark-grayish duck with a dark eye and an obvious peaked crown. Beak is strongly curved like a ski-jump. Breeding males have a red base to their bill. Upper-wing is dark, while under-wing is paler gray. When perched, distinguish from Hardhead (which have a pale belly patch). Generally uncommon; found beside inland waterholes and ponds. More reliable inland, but can be common one year and absent the next from any given location."
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/205229211/1800,"A chunky mid-sized goose. Standing bird looks fairly dull, gray and dirty white, sometimes showing blue along the edge of the wing. Flying bird shows pale blue and iridescent green patches in the upperwing and a white patch on the underwing. Found in montane wetlands and adjacent grasslands, often in pairs or small groups, occasionally in large flocks. Less colorful and boldly marked than other similarly-sized waterfowl species. The calls are high-pitched whistles and yelps."
Cygnus olor,Mute Swan,mutswa,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/53961801/1800,"Huge white bird with long neck, reddish-orange bill, and black face. Adults have a black knob on top of the bill. Immatures are dusky brown with a gray bill. Native to northern Europe and Asia, but introduced in many regions, where it is now common on ponds, lakes, and calm coastal waters. Very aggressive toward native waterfowl. Often seen in pairs or small family groups."
Cygnus atratus,Black Swan,blkswa,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/120705851/1800,"Unmistakable large black swan with a red bill. When swimming this species is almost entirely black. Wings show extensive white flight feathers when flying. Juveniles are similar but dark-gray. In Australia, compare with Magpie Goose, which has white belly, and white underwing with black tips. Typically found along inland waterways, rivers, sewage ponds, and coastal lagoons and inlets. Sometimes flocks together in enormous numbers on large wetlands."
Cygnus melancoryphus,Black-necked Swan,blnswa2,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/73418681/1800,"Basically unmistakable and is just what the name says: a swan with a black neck. Fairly common but sometimes local on lakes, slow-moving rivers, wetlands with open water, estuaries, and inshore coastal waters. Often in groups, locally hundreds in winter, and associates readily with Coscoroba Swan. Cygnets are pure white and soon develop a dusky neck; within a month or two after hatching they look like adults."
Cygnus buccinator,Trumpeter Swan,truswa,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/339619351/1800,"Huge white bird with long neck and all-black bill. Immatures dusky gray-brown with pink on bill. Forages in shallow, vegetated wetlands reaching under the water for plants, and walks through corn stubble. Breeds in freshwater marshes and ponds. Winters on any open body of water where food is available. Extremely similar to Tundra Swan, but never shows yellow on bill. Also, note subtle features of face: facial skin is relatively broad where it meets eye, so the eye doesn't stand out, and border between white face and black bill is straight (curved on Tundra). From head-on, the border of the bill and forehead is usually pointed (straight or curved on Tundra). Often in pairs or family groups. Almost went extinct in early 20th century, but population has rebounded and been reintroduced to some areas."
Cygnus columbianus,Tundra Swan,tunswa,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/31724801/1800,"Huge white bird with a long elegant neck. North American “Whistling” Tundras have a mostly black bill, with a yellow spot near the eye; Eurasian “Bewick’s” have a more evenly divided black-and-yellow bill. Immatures dusky gray-brown with pink on bill. Easily confused with Whooper and Trumpeter Swans where their ranges overlap; see those species’ accounts. Breeds on ponds and tundra in far north. Winters in large flocks on fresh or saltwater. Forages in shallow, vegetated wetlands, reaching under the water for plants, and walks through corn stubble. Gives loud echoing bugles, often while in flight."
Cygnus cygnus,Whooper Swan,whoswa,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/199133081/1800,"Immense swan of frigid northern regions; breeds on the tundra, taiga, and steppe and winters in marshy lakes and wetlands, often in wild areas. Fairly straight neck, short tail, and sloping bill distinct from Mute Swan; told from smaller Bewick’s (Tundra) Swan by larger and pointed yellow patch at base of bill, also lower-pitched and more bugling calls. Juvenile often dingier through first winter than juvenile Bewick’s; juveniles of both usually found with adults as family groups."
Coscoroba coscoroba,Coscoroba Swan,cosswa1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/612769127/1800,"A distinctive white swan with a bright, rather ducklike bill. The black wingtips are usually concealed when swimming. Most likely to be confused with white domestic waterfowl. Fairly common but sometimes local on lakes, slow-moving rivers, wetlands with open water, estuaries, and inshore coastal waters. Often in groups and associates readily with Black-necked Swan. Cygnets are dirty brownish with a black face mask, but young look much like adults within a month or two after hatching. Name comes from slightly gruff, honking “kós-ko roa” call."
Sarkidiornis melanotos,Knob-billed Duck,comduc2,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/74436361/1800,"Large bicolored waterbird. Both sexes are iridescent purplish-green above with a white or buffy breast. Males have a large black lump on the bill, gray flanks and whitish belly, whereas females have a plain bill and gray flanks. Note all dark wings. Occurs throughout much of Africa, India, and Southeast Asia. Found in freshwater rivers, lakes, and marshes where it is usually uncommon. Normally silent."
Sarkidiornis sylvicola,Comb Duck,comduc3,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/91557361/1800,"Large bicolored waterbird. Both sexes are iridescent purplish-green above with a white breast. Males have a large black lump on the bill, dark flanks and whitish belly, whereas females have a plain bill and gray flanks. Note all dark wings. Occurs throughout much of South America, rarely straying north to Costa Rica. Found in freshwater rivers, lakes, and marshes where it is usually uncommon. Normally silent."
Pteronetta hartlaubii,Hartlaub's Duck,harduc1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/193530171/1800,"A large, dark chestnut-colored duck found primarily in sheltered fresh and brackish waters in well-wooded areas. In flight, distinctive bright blue upperwings stand out even along shaded creeks and streams. Widespread in the Afrotropical lowlands, but easy to overlook given its habits and habitat. Primary calls consist of hollow “ko-ko-ko” quacking and occasional wheezy whistles."
Oressochen jubatus,Orinoco Goose,origoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/62554691/1800,"Small goose of seasonally flooded grasslands and rainforest rivers. Two-toned, with a brown body and cream-colored head, neck, and breast. The wings are dark iridescent green, with a small white patch visible in flight. Found along rivers and flooded grasslands, where it swims and walks along beaches, often in pairs. Rare or absent from some areas it was previously found due to hunting."
Oressochen melanopterus,Andean Goose,andgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/31616211/1800,"This chunky white-and-black goose is often common and conspicuous on Andean bogs and lakeshores; usually in pairs or small groups and can be confiding in areas where not hunted. Note the small pink bill and pink legs; sexes alike but the male is larger. Local overlap in Andes of central Chile with Upland Goose. Male Upland Geese have a black bill and legs, and dark barring on body. Like the other species in this genus, males give high wheezy whistles whereas females grunt and bray."
Chloephaga picta,Upland Goose,uplgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/61068951/1800,"Common and conspicuous in most of its range, becoming uncommon and local in northern areas. Pairs and flocks are common along roadsides in Patagonian steppe grasslands, wetlands, at lakes, and along coasts. The male is strikingly white necked; some males have clean white breast and belly, others have dark-barred body. The female is brownish overall and much less noticeable with a rusty brown to grayish brown head and neck (compare to the rare Ruddy-headed Goose). Both sexes have bold black-and-white wing pattern that is striking in flight."
Chloephaga hybrida,Kelp Goose,kelgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/22361441/1800,"A distinctive goose found locally along rocky coasts and in intertidal areas; very rarely away from the shoreline. Usually in pairs or small groups, readily associating with other geese. Pure white male stands out at long range, but handsomely patterned female can be cryptic—note her white tail, pale brown cap. First-year males are variably intermediate in plumage between adult males and females. In flight, females show bold black-and-white wing pattern like other austral geese such as Upland Goose."
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/73864461/1800,"A handsome, distinctive goose of wetlands, lakes, and slow-moving rivers especially in wooded and forested areas. Usually in pairs or small groups, often associating with groups of Upland Geese. Unlike the slightly larger Upland Goose, sexes of Ashy-headed look alike. At a distance, the bright rusty breast is usually more noticeable than the ashy-gray head. Like other austral geese, shows bold black-and-white wing pattern in flight."
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/78206031/1800,"A rare and endangered goose on the South American mainland, but fairly common in the Falkland Islands. This subtly attractive austral goose is easily passed off as a female of the slightly larger Upland Goose. Relative to female Upland, Ruddy-headed (in which sexes look alike) has a shorter ruddy neck (which can be fairly dull and pale, especially in the Falklands) with narrow white eye crescents and a pale forehead; body is cleaner and paler gray with dark rusty belly and vent; legs are deeper orange. In flight, bold wing pattern is like female Upland. Found in pairs or small groups, readily associating with Upland Geese."
Radjah radjah,Radjah Shelduck,radshe1,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/39464721/1800,"Large black and white duck with obvious pale eye, pale bill, and chunky pale-colored legs. Note narrow dark breast-band. Typically found on and around wetlands, rivers and sewage ponds, including mangroves."
Alopochen aegyptiaca,Egyptian Goose,egygoo,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/33607341/1800,"This striking “goose” (in actuality more closely related to shelducks) is native to Africa, mainly the eastern and southern parts of the continent; it has also been introduced widely across Europe and parts of the U.S. Distinctive: note the staring pale eye surrounded by a dark patch, pink legs, and overall gray and buffy plumage. In flight, look for bright white forewings. Usually found in pairs or family groups. Feeds while swimming and by grazing on shore."
Tadorna ferruginea,Ruddy Shelduck,rudshe,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/135694691/1800,"Striking and distinctive gooselike duck. Plumage bright ruddy overall with contrasting pale creamy head and neck; male has narrow black neck ring. Big white forewing patches striking in flight. Breeds in southeastern Europe and Central Asia, winters in South Asia. Often found around saline lakes; also reservoirs and agricultural fields. Escapees from waterfowl collections occasionally seen free-flying outside of native range."
